,date,text,compound
31,2018-07-24,"New Mobile Power Products Coming From Nomad And Goal Zero Nomad says that pre-orders (shipping September 1) will get a $20 discount, bringing the $149 price of the Tesla Model 3 wireless charger down to $129. Watch for a Review I’m expecting to receive an ...",0.0
30,2018-07-24,"Tesla String Quartet Releases Debut Album Of Haydn, Ravel, And Stravinsky On Orchid Classics a return to London's Wigmore Hall, and debuts at New York's Lincoln Center and the Banff Centre International String Quartet Festival. Since 2015 the Tesla Quartet has held a community residency with ...",0.4939
33,2018-07-24,Here’s how Tesla played with EPA ratings to advertise all Model 3 versions with 310-mile range Now we try to piece all the information together to show how and why Tesla played with EPA ratings to advertise all Model 3 versions with the same 310-mile of range The official EPA rating of the Long ...,0.5859
49,2018-07-26,"Early Tesla Model 3 Performance reviews are positive The first reviews of the Tesla Model ... for ""more grip,"" and Kyle Field of CleanTechnica saying the car ""begs for more traction."" Writing for Electrek, Seth Weintraub, who owns a Model S, said he ...",0.5574
48,2018-07-27,"Lean Lessons from Tesla Toyota’s living system approach is exactly what has ... a system that works extremely well. Robert May, Jr. is senior vice president and business line leader at Fuss & O’Neill, Inc., a ...",0.3384
47,2018-07-27,"Tesla to put car chargers in Landing State Park VIRGINIA BEACH, Va. (AP) -- Car company Tesla is installing the first electric car chargers in a Virginia state park. First Lady Pam Northam and other officials are set to dedicate the charging ...",0.0
44,2018-07-30,"How to Buy the $1,500 Tesla Surfboard, Elon Musk’s Cheapest Vehicle Tesla unveiled a new vehicle over the weekend, and it’s already making waves. The Surfboard is a limited-edition, company-branded board that uses the same matte and gloss finishes as found on its ...",0.0
43,2018-07-30,"Elon Musk's Tesla Surfboards Are for Sale on eBay for $5,000 But it's red and matte black. So I snagged one Â¯_(ãƒ„)_/Â¯https ... The company's online store features a wide selection of Tesla-themed clothing for men and women. One of its best-selling products ...",0.0
42,2018-07-31,"Sony SRS-XB3 The Sony SRS-XB3 speaker delivers some of the best Bluetooth audio we've heard for the price, wrapped in a portable, outdoor-friendly design. According to Musk, soon your Tesla electric vehicle will ...",0.6369
41,2018-07-31,"Tesla flags promise of profit as Model 3 production steadies Tesla delivered its 200,000th electric car - including its more expensive Model S and X vehicles - in July ... its capital expenses would be slightly below $2.5 billion in 2018, less than last year’s ...",0.6369
40,2018-07-31,"Sony SRS-XB3 The Sony SRS-XB3 speaker delivers some of the best Bluetooth audio we've heard for the price, wrapped in a portable, outdoor-friendly design. According to Musk, soon your Tesla electric vehicle will ...",0.6369
58,2018-08-02,"Tesla shares spike, dealing short-sellers a $1.7 billion loss NEW YORK (Reuters) - Tesla Inc (TSLA.O) shares soared 16 percent on Thursday, a day after the electric car maker’s better-than-expected quarterly report, and financial analytics firm S3 Partners said ...",0.2732
59,2018-08-02,"Behind the wheel of a Tesla Model 3: It’s a giant iPhone — for better and worse Over three days, I navigated the steep learning curve to operate this iPhone with wheels, and ended up convinced it is the car of the future ... re not interested in owning a Model 3, don’t believe in ...",0.0624
57,2018-08-02,"Tesla Model 3 review: It's a giant iPhone - for better and worse Washington | I joined a buddy recently to fawn as he received his long-delayed Tesla Model 3. When we first climbed in ... Instead, in the middle there's that DashPad - a floating 15.4-inch screen ...",-0.0516
56,2018-08-03,"2018 Tesla Model 3 Performance: Here's What We Thought What can one person determine about the ultra-important Tesla Model 3 Performance with just an hour ... (By the way, the average height for women in the U.S. is 5’4”, which is only an inch difference ...",0.0
55,2018-08-06,"Tesla Model 3 Performance is even faster than anticipated: 0-60 mph in 3.3s, quarter-mile in 11.8s For the Long Range rear-wheel-drive version of the Model 3, Tesla went with low resistance tires on 18-inch wheels to optimize range. But that wasn’t good enough for the Performance Model 3. Tesla ...",0.6124
53,2018-08-07,"It’s Been an Afternoon of Terror for Tesla Shorts It’s not just short sellers that Musk has been lashing out at, but also the media and Wall Street analysts. During the May 2 earnings conference call, he scolded analysts for asking what he said were ...",-0.296
52,2018-08-07,Dreaming Of An Electric Sky With Tesla Tesla is leading the global push towards an electric car singularity. Second-quarter results for 2018 reflects a company experiencing hyper growth as its mass-market car ramps production. Tesla's leap ...,0.3818
51,2018-08-07,"2019 Fiat 500X Teased, Could Launch This Fall With New Engines The headlights are particularly eye-catching as they feature integrated LED lights which sort of resemble eye lids. Further below, there are restyled fog lights and circular ... Tesla Cybertruck ...",-0.296
50,2018-08-07,"Backup Power Market- A Comprehensive Study by Leading Key Players: Aggreko, Bloom Energy, Caterpillar Company profile section of players such as Aggreko, Bloom Energy, Caterpillar, Cummins, LG Chem, GS Yuasa, GS Yuasa, Schneider Electric, Tesla, Emerson, Doosan Fuel Cell America, East Penn ...",0.6369
54,2018-08-07,This is Precisely Why I've Been Saying: Don't Short Tesla or Anything in This Crazy Market ,-0.34
66,2018-08-13,"2022 Tesla Model S This is the model that set the stage for all of Tesla’s other offerings, including the top-shelf ... a cabin pre-conditioner, and more. Finally, a Wi-Fi connection and a selection of voice command ...",0.0
69,2018-08-13,"Euro-Spec 2019 Honda HR-V Revealed With 1.5-Liter Petrol Engine Exterior upgrades follow in the footsteps of the US-spec model, plus a few minor changes at the front, such as the circular fog lights ... 2019 at 7:17 am Ford Challenges Tesla To “Apples To Apples” ...",0.0772
68,2018-08-13,"Blue Oyster Cult, Big Head Todd & The Monsters, Tesla and more coming to Penn's Peak Also coming are an alternative rock band that in the 1990s had five Top 30 Mainstream Rock hits and a platinum album; a band that had three platinum albums in the late 1980s and early '90s; and a ...",0.2023
67,2018-08-13,"Tesla expands charging infrastructure in New York with new ‘Urban Supercharger stations’ That’s where Tesla’s new ‘urban’ Supercharger stations come into play. The chargers feature an updated design and ... or schedule a test drive to experience Model S, Model X or Model 3 at your local ...",0.4215
65,2018-08-13,"China’s strongest Tesla challenger has a bold plan to launch a new car every year While Tesla wants to get away from Wall Street, China’s toughest Tesla challenger is going the other way. Nio, a maker of electric cars, announced today that it wants to raise US$1.8 billion in an IPO ...",0.7351
61,2018-08-14,"None Of This Tesla Shit Feels Real Violate the process, and, well, I’m not a lawyer or a cop so I’m not going to say anything more there ... Speaking of electric car companies and financial deals, Chinese electric car company NIO has ...",-0.6908
63,2018-08-14,"As Tesla looks to go private, Chinese rival plans U.S. IPO ",0.0
62,2018-08-14,Tesla: getting to Q3 profitability ,0.2732
60,2018-08-14,"Elon Musk wants to sell Tesla short shorts Who wears short shorts? Elon Musk, apparently. The Tesla CEO recently tweeted that he plans to include the itty-bitty bottoms as part of his car company’s merchandise. The 47-year-old billionaire’s ...",0.0
64,2018-08-14,Tesla Competitor Nio Looks to IPO on NYSE Nio is looking to raise $1.8 billion in an U.S. IPO at the NYSE. Is it a threat to Tesla?...TSLA.,-0.5267
78,2018-08-17,"Will Your Electric Car Save the World or Wreck It? Where energy efficiency for internal combustion engines is between 20 and 60 percent, an electric motor can be 60-80 ... The iPhone 6 weighs in at six ounces whereas a Tesla Model S contains a ...",0.5994
77,2018-08-17,"Kimbal Musk Plans to Open 20 ‘Urban Casual’ Restaurants in Chicagoland Musk, brother to Elon Musk and board member at Tesla and SpaceX, is planning to open 20 Chicagoland locations of his Next Door restaurant brand as part ... retail development Mellody Farm that’s under ...",0.0
79,2018-08-17,"Tesla whistle-blowers, fuel-cells, and Musk interview, time for relief? Today's Car News The service will start with Toyota Prius hybrids using backup drivers, but the long-term plan is to transition to driverless Nuro autonomous delivery vehicles as soon as this fall.",0.2617
72,2018-08-20,"Unplugged Performance Tesla Model S Heads to SEMA Earlier this year, Saleen Automotive got its hands on a Model S, along with Unplugged Performance, which is showing off its modified Tesla at the 2014 SEMA Show ... will be showing off its upcoming ...",0.0
73,2018-08-20,The Hype is No Longer with Tesla: Suppliers & Creditors Start to Fret ,-0.296
74,2018-08-20,"Ex-Tesla employee says ""Gigafactory"" contractor linked to Mexican drug gang He also claims that Tesla wiretapped employees and installed ""specialized router equipment"" to monitor their cell phone ... It's not yet clear if the debris belongs to the missing plane. Volcanic ...",-0.5242
75,2018-08-20,"Morgan Stanley Expects Foot Locker to Beat on Earnings: LIVE MARKETS BLOG Morgan Stanley seems to have conflicted feelings about Foot Locker Inc. (FL) ahead of its earnings release ... However, Tesla is also currently under investigation by the SEC over tweets Musk sent two ...",0.0
71,2018-08-21,Tesla Extends $1.1 Billion Warehouse Loan Agreements With Deutsche Bank Tesla Inc. (TSLA - Get Report) said in an SEC filing Tuesday it had extended $1.1 billion in warehouse loan agreements with Deutsche Bank (DB - Get Report) .,0.5719
70,2018-08-21,"Tesla Model 3: First look for Australian customers Andreas Stephens has waited 25 years for the new Tesla Model 3. Braving a chilly Sydney morning, the Strathfield investor is the first customer in line to see the new Tesla at its local debut. The ...",0.0
80,2018-08-28,"Tesla pulls its sleek $65 6,000mAh wireless charger from its website The Tesla Wireless Charger is a 6,000mAh battery pack that incorporates a sleek design and comes in two colors, black and white. It can charge a device through a Qi inductive charging pad, through its ...",0.0
81,2018-08-28,"Tesla has a new wireless battery pack/charger for your iPhone If you have an iPhone 8 ... for the Tesla Wireless Charger will be for the cool design and the brand name. As 9to5 Mac points out, Tesla’s battery/charger is more expensive and holds less charge than ...",0.3182
82,2018-08-28,"Tesla launches wireless charger not for your car but for your iPhone It’s the latest ‘lifestyle product’ launched by the automaker who has also previously launched batteries for phones using “the same cell found in ... to wirelessly charging your device, you can also ...",0.3612
83,2018-08-28,"Tesla buyers in limbo as Tories study next move on electric car rebates after legal setback “This is likely only the first of many decisions against the Ford government’s decision to rip up hundreds of cap-and-trade and green energy contracts, and just like (those of) the Liberals’ gas plant ...",0.6249
84,2018-08-28,Sunburned: Solar industry faces complaints over hard-sell tactics Tesla’s Solar City declined to be interviewed for ... increased in Hempstead Village for the religious holidays in response to rash of hate crimes. A former Rikers Island guard admitted to killing his ...,-0.8555
99,2018-08-30,"Tesla's $65 Smartphone Charger Sold Out at Debut Within less than a day ... are looking for the convenience of both wired and wireless charging in the same device at a moderate price of $65. Tesla claims that the chargers are ""powered by the same ...",0.0
97,2018-09-04,"Mercedes just launched its first all-electric SUV as it looks to take on Tesla Mercedes-Benz launched its first totally-electric SUV on Tuesday, the latest big car manufacturer to make a major play in the burgeoning electric vehicle (EV) ...",0.5267
96,2018-09-04,Ex VP of Tesla Gets Into Blockchain With Solo Energy ,0.2732
95,2018-09-04,"Police: Suspect, out on bail, steals Tesla in Los Altos and crashes it in San Jose ",-0.6705
93,2018-09-04,"The Electric Cars From Germany Are Coming. Should Tesla Be Worried? September 4th, 2018 by Steve Hanley. Mercedes will take the wraps off its EQC electric car at an event in Sweden on September 4. Audi will (finally) introduce ...",-0.296
92,2018-09-04,Tesla’s cobalt-light batteries seen providing cost advantage Chief Executive Officer Elon Musk on June 5 said Tesla is targeting a cell-level price of $100 per kilowatt-hour in 2018 and battery-pack costs below that level ... The Solar City business it acquired ...,0.25
91,2018-09-04,"Mercedes Challenges Tesla With an All-Electric SUV The base i-Pace S produces 394 horsepower, and 512 pound-feet of torque, but it has a 90 kWh lithium-ion battery pack, a range of 240 miles and a top speed of 124 mph, reaching 60 a hair faster at 4.8 ...",0.5499
94,2018-09-04,"Home Burglar Steals, Crashes Tesla In Los Altos: Deputies ",-0.5106
90,2018-09-05,"China's NIO is Tesla lite but it may yet gain serious weight Hate to break it you, NIO Iis no Tesla; the Chinese electric-car company may have the trappings of the car maker of the future but ornaments won't be enough to ...",-0.5719
109,2018-09-11,"Electric car chargers, cleaner school buses in the offering from VW settlement They can be replaced with cleaner diesel or alternative ... led by Tesla-only chargers on Interstate-93 and Interstate-95. A few dozen others exist – there is no official count – mostly at hotels or ...",0.0516
106,2018-09-12,"IPO Roundup: China""s wannabe ""Tesla killer"" NIO Ltd trading above US$14 on NYSE ",-0.6486
107,2018-09-12,'Tesla Fighter' Nio Gets Poor Reception on IPO Can Nio overcome early doubts from its public debut and prove the doubters wrong?...NIO.,-0.7184
105,2018-09-12,The Tesla of China fails to raise the $1.8 billion it targeted in its US IPO (NIO) ,-0.4215
108,2018-09-12,"Tesla's wireless charger is back (and it's cheaper) If you missed out on getting Tesla's wireless phone charger when it was first released, you may want to head over to the company's website ASAP. The automaker has relisted the device for sale, and it ...",-0.2263
103,2018-09-12,"Hackers clone Tesla Model S key fob in 2 seconds to steal car Prepare to become a Certified Information Security Systems Professional with this comprehensive ... By deciding to use a weak 40-bit cipher encryption in the key fob system, KU Leuven researcher Tomer ...",-0.3506
102,2018-09-12,"Tesla: What's Really Going on, on the Plant Floor My take was that ‘This is the kind of assembly plants that there were when I first got in the car business, years ago ... “Some of the things like wire harnesses are better put on by people. I think ...",0.6597
101,2018-09-12,How Regenerative Braking Works A Tesla Model S can return approximately 60kW of electricity to the battery pack ... magnetic brakes if the energy isn’t being recovered? The answer is simple: magnetic brakes have virtually no ...,-0.0258
100,2018-09-12,"Tesla Model 3 Vs. Amtrak's Acela Express: The Electric Future Acid Test The basic idea was simple: Race a car against a train. It's a story as old as the automobile ... Besides, 2018 is poised go down as the Year of the Model 3. The more-affordable Tesla sedan has ...",0.25
104,2018-09-12,Tesla China Rival Nio Rises In Debut After $1 Billion US IPO ,0.0
119,2018-09-13,"Rayvolt & Crowdcube: Stylishly Cruisin’ toward an E-Bike Rayvolution What do Harley-Davidson, Tesla and Rip Curl have in common? Each has showcased Rayvolt bikes in their hallowed halls. From a garage brand making ...",0.0
117,2018-09-14,China’s High-Powered Tesla Rival Is Short on Gas ,0.0
118,2018-09-14,Here's the math to figure out how much the Tesla of China may be worth in the future (NIO) ,0.2263
115,2018-09-17,"The All-Electric 2019 Audi E-tron Is a $74,800 Warning Shot Across Tesla's Bow The e-Tron packs a 90 kilowatt-hour battery (the Tesla Model X uses a 75 or 100 kWh pack ... juices twin electric motors mounted on each axle to drive all four wheels via a new version of Audi's ...",-0.34
116,2018-09-17,The Tesla of China is getting slammed (NIO) ,0.0
113,2018-09-18,NIO Means Tesla Monopoly Ends ,0.0
114,2018-09-18,"Tesla Is Facing U.S. Criminal Probe Over Elon Musk Statements Tesla Inc. is under investigation by the Justice Department over public statements made by the company and Chief Executive Officer Elon Musk, according to two ...",0.0
112,2018-09-18,"Brace Yourself, Elon Musk, For the Story You Fear Most: Is Tesla the New Morgan? The budget version of anything cool never comes out first, which is why most of the Model 3s delivered so far have run close to ... because the BLAT-BLAT-BLAT-BLAT of a 2-liter, 2-cylinder S&S ...",-0.2263
111,2018-09-19,Tesla increases Supercharger idle fees to decrease wait times ,0.0
110,2018-09-19,"The most effective brand activations: Converse, Greggs, Google, Tesla The panel features industry experts from Amplify, Benefit Cosmetics, Hearst Magazines ... Google went global with its Home Mini ‘Size of a donut. Power of a superhero’ campaign – a simple play on how ...",0.8313
125,2018-09-24,"New Tesla Model 3 Dual Motor Performance review The sleek headlights on the stubby bonnet look like stickers, while the short overhangs front and rear add a pertness to the design that we’ve not seen ... is built by Americans in baseball caps and T ...",0.3612
124,2018-09-24,"After working with Tesla’s Australia battery, wind company wants more batteries ",0.0
123,2018-09-25,"The Tesla of China is 'an easy stock to steer clear of,' investor says (NIO) ",0.6705
122,2018-09-26,"Here’s how Tesla’s new dashcam feature using Autopilot cameras works Earlier today, we got our first look at Tesla’s new version 9 software update on Model 3, but it didn’t have the promised dashcam feature using Autopilot cameras. Now we’ve got our first look at how ...",0.5023
120,2018-09-26,"Tesla public or Tesla private. Which way forward? For a leveraged buyout, backers typically put up little cash and finance the rest with debt. In Tesla's case that would mean bank loans in the tens of billions of dollars. Read more: With cash ...",-0.3612
121,2018-09-26,"Bob Lutz Dishes Out On Mid-Engine Corvette, Tesla And More: Video ",0.0
139,2018-10-01,"RevoZport-Tuned Tesla Model 3 Performance Looks Ready For Track Action Meet the R-Zentric Model 3R, a renamed and modified Tesla Model 3 created by the team at RevoZport Racing Technology ... The broader wheel arches house 21-inch lightweight forged aluminum wheels in 9J ...",0.5423
135,2018-10-02,"Watch CNBC's full interview with Ron Baron Ron Baron, Baron Funds CEO and CIO, sits down with ""Squawk Box"" to discuss his holdings in Tesla, CEO Elon Musk's settlement with the SEC, what he sees ...",0.0
138,2018-10-02,"Tesla flags China tariff worries as Model 3 sales hit record Tesla reported production numbers on its flagship Model 3 sedan, although it warned that new Chinese tariffs will crimp sales in Asia. The Silicon Valley-based electric-car maker, which, is struggling ...",-0.743
137,2018-10-02,Tesla ramps up production in Shanghai to offset Chinese import tariffs ,0.0
133,2018-10-02,"European Kia e-Niro Has 301 Miles / 485km Of Electric Range GM Says If you think today’s 18- and 19-inch rims are too big, you’re in for a surprise in the near future. November 23, 2019 at 6:20 pm Tesla To Sell Two-Seat Electric Cyberquad As An Option For ...",-0.4767
134,2018-10-02,"Tesla Met Production Guidance, but China Is a Growing Concern The company met, but didn't exceed, the expectations it had previously set. There were no surprises. Tesla has faced a lot of hard questions recently, and it's sure to face more when it presents its ...",0.4497
136,2018-10-02,BMW Says Tesla Ramp-Up Puts Pressure on Tough U.S. Luxury Market ,-0.4019
132,2018-10-03,China’s Tesla Wannabe to Face Wall Street Reckoning After U-Turn ,0.0
131,2018-10-03,"High-tech ways to stay in touch during an emergency Tesla Powerwall 2: This wall-sized lithium-ion battery stores electricity ... microwave, furnace fan, flat-screen TV, washer, dryer, air conditioner, computer, monitor, garage door opener and DVD ...",-0.0772
130,2018-10-03,"Are BMW Die-Hards Coming Around to Tesla? Chan, who shared his experiences in a series of posts on the Bimmerfest forum, owns two BMWs: a modified E36 325i with track suspension setup ... but the BMW M3 has bigger brakes and stickier tires,” ...",0.1779
149,2018-10-08,No fear from Macquarie on Tesla ,-0.6597
145,2018-10-09,"Tower Semiconductor, Tesla Stocks Rise on Bull Notes Jefferies is bullish on underperforming TSEM stock, initiating coverage with a ""buy"" rating and $30 price target. The shares have gained 5.8% to trade at $21.17, but this still leaves them 37.9% lower ...",-0.1027
146,2018-10-09,The Tesla of China soars after Tesla's largest outside investor discloses a stake (NIO) ,0.0
147,2018-10-09,Shares of Chinese electric car maker Nio rally after Tesla investor takes stake Shares of Chinese electric car maker Nio surged more than 13 percent in Wednesday's premarket following reports that Tesla investor Baillie Gifford has ...,0.5267
148,2018-10-09,Should You Sell Tesla and Buy Recent IPO Nio Instead? Analysts are out with their price targets for Nio and all of them suggest upside. Time to buy?...TSLA.,0.0
140,2018-10-10,"The 10 Hardest Things To Get Used to on the Tesla Model 3 just large enough to stuff a jacket. Call it the ghost of the VW Beetle. I love it. During my weekend with the Model 3, I used Tesla's iPhone app and a credit card-sized wallet key as a backup. That's ...",0.6705
141,2018-10-10,"Five radical steps we can take to fight climate change However, a used Nissan Leaf might be sufficient. That's better for the climate than buying a new Tesla and a lot cheaper. If the single family dwelling is still a must, make it small, think about semi ...",0.1027
142,2018-10-10,Stop Comparing Tesla To Legacy Automakers - Tesla Is Far More Attractive There are multiple growth opportunities available for Tesla. At the end I provide some food for thought for Tesla shorts ... more than profit taking middle-men and the company is better off ...,0.9056
143,2018-10-10,"One of Tesla""s biggest investors takes 11% stake in Chinese rival NIO ",0.0
144,2018-10-10,"Nio Stock Jumps on Tesla Investor Taking Big Stake Turnaround Tuesday? I don't think so. With the exception of a few names, Nio (NIO) among them, the stock market is getting crushed on Wednesday. How can ...",-0.4215
158,2018-10-15,"Why you can't buy a Tesla in these states Here are those states: Alabama, Arkansas, Connecticut, Iowa, Kansas, Kentucky ... It never needs oil changes, tuneups, or emissions checks. Your brake pads go years without needing replacement, too, ...",0.0
159,2018-10-15,"Ark Invest CEO: Tesla 'is a replay of Apple' “This is a replay of Apple,” she added. “Apple was moving so fast with the smartphone that it had to design its own chip to move that fast. This is what has happened to Tesla.” Apple designs its own ...",0.0
155,2018-10-16,"Tearing Apart Tesla Model 3s to See Musk's Best, Worst Decisions In his shop outside of Detroit, there’s a disassembled BMW 328i and broken apart models from Honda Motor Co. and Fiat Chrysler Automobiles NV. Doors, body panels, valves, wiring harnesses and ...",-0.4588
156,2018-10-16,"Judge OKs Tesla and Elon Musk’s settlement with SEC Just two days after the Sept. 29 settlement, Musk had tweeted a music video by the group Naughty by Nature, with a wink emoji. Under terms of the settlement, tentatively reached on Sept. 29, both ...",0.1027
157,2018-10-16,"Double your charging speed with Nomad’s Tesla Model 3 wireless charger Nomad’s new Wireless Charger for the Tesla Model ... plug into a USB adapter in the center console’s 12V power outlet, or use one of the front USB plugs, which will cut the Nomad charger’s power in ...",-0.2732
152,2018-10-17,"Tesla Buys Land in China to Begin Gigafactory Construction Shares of Tesla Inc (TSLA - Get Report) started off higher on Wednesday, but have quickly slipped lower on the day, down more than 3.5% to $267. News that ...",-0.296
153,2018-10-17,Elon Musk pledges to improve Tesla’s service location coverage within 3-6 months ,0.4404
154,2018-10-17,"Tesla buys new plot for China factory for $140 million Tesla has acquired an 864,885-square meter plot in Shanghai's Lingang area for the electric car maker's new factory — the company's first outside the U.S..",0.0
150,2018-10-17,"Tearing Apart Tesla Model 3s To See Musk's Best, Worst Decisions In his shop outside of Detroit, there’s a disassembled BMW 328i and broken apart models from Honda Motor Co. and Fiat Chrysler ... wiring harnesses and circuit boards hang on peg boards throughout the ...",-0.4588
151,2018-10-17,"An expert dismantled a Tesla Model 3. He found poor design and manufacturing are squandering profits In his shop outside of Detroit, there’s a disassembled BMW 328i and broken-apart models from Honda Motor Co. and Fiat Chrysler Automobiles. Doors, body panels, valves, wiring harnesses and ...",-0.0516
169,2018-10-23,"Watch a Tesla Mistake a Washer and Dryer for a Bus But that doesn’t mean it’s not also kind of funny, because we humans very rarely mistake washers and dryers for buses unless we’re really ... that confused its algorithm into thinking the ...",-0.0109
168,2018-10-24,Hands-on: Nomad Wireless Charger for Tesla Model 3 [Video] The result is a wireless charging pad that could easily pass as being a native part of the Model 3. Watch our hands-on video as we discuss the ins and outs of Nomad’s wireless charging solution. Note: ...,0.5719
167,2018-10-24,Elon Musk Excites The Crypto Community With Bitcoin-Related Tweet Tesla CEO and SpaceX founder Elon Musk got Twitter buzzing and whipped up a lot of speculation within the crypto community following his Bitcoin-related ...,0.4767
165,2018-10-24,Elon Musk's BTC Tweet Goes Viral Triggering a Lot of Speculation on Tesla's Crypto... Recent Elon Musk's joky tweet about Bitcoin went viral leading many crypto enthusiasts guess whether Tesla is going to accept certain cryptos. Musk got ...,0.7269
166,2018-10-24,"Tesla turns a profit in victory for CEO Elon Musk Electric-carmaker Tesla reported a quarterly profit on Wednesday, sending its shares higher and providing a measure of at least temporary vindication to ...",0.7906
163,2018-10-24,Tesla Adjusts Price on Newly Announced Model 3 Mid Range This version uses what the electric automaker is calling its Mid Range battery. While the true entry-level Model 3 has yet to arrive-that's the car former CEO Elon Musk ... for the Mid Range between ...,0.4215
